                 cav_x     Frequency of mode 3/abs,linear            
-----------------------------------------------------------------
                   0.1                     66.109182305908
       0.4020202020202                      43.49882176274
       0.7040404040404                     56.169180433457
       1.0060606060606                     58.713421089989
       1.3080808080808                     59.835124604903
        1.610101010101                     60.533136968523
       1.9121212121212                     61.017085034956
       2.2141414141414                     61.390103354126
       2.5161616161616                     61.673719428868
       2.8181818181818                     61.914434903715
        3.120202020202                      60.10594679667
       3.4222222222222                     58.183726428105
       3.7242424242424                     56.449917124312
       4.0262626262626                      54.93329430112
       4.3282828282828                     53.622991324276
        4.630303030303                     52.493566903142
       4.9323232323232                     51.519794091667
       5.2343434343434                     50.676947638772
       5.5363636363636                     49.945004450822
       5.8383838383838                     49.306475514327
        6.140404040404                     48.746321542912
       6.4424242424242                     48.253125569611
       6.7444444444444                     47.816882374418
       7.0464646464646                     47.429270131127
       7.3484848484848                     47.083708360235
        7.650505050505                     46.774306196612
       7.9525252525253                     46.496415939255
       8.2545454545455                     46.245900830992
       8.5565656565657                     46.019317936715
       8.8585858585859                     45.813740881545
       9.1606060606061                     45.626760001969
       9.4626262626263                     45.456153700761
       9.7646464646465                     45.300148690229
       10.066666666667                     45.157096048359
       10.368686868687                     45.025701226256
       10.670707070707                     44.904608871566
       10.972727272727                     44.792870290986
       11.274747474747                     44.689517281554
       11.576767676768                     44.593762359397
       11.878787878788                     44.504888004824
       12.180808080808                     44.422216386026
       12.482828282828                     44.345244034937
       12.784848484848                     44.273415745926
       13.086868686869                     44.206294614732
       13.388888888889                     44.143498965613
       13.690909090909                     44.084650367503
       13.992929292929                     44.029425347648
       14.294949494949                     43.977552406332
        14.59696969697                     43.928748964752
        14.89898989899                     43.882788548877
        15.20101010101                     43.839458942003
        15.50303030303                     43.798548797422
       15.805050505051                     43.759882892776
       16.107070707071                      43.72331563466
       16.409090909091                     43.688693066625
       16.711111111111                     43.655876508632
       17.013131313131                     43.624744895546
       17.315151515152                     43.595184724066
       17.617171717172                     43.567098250892
       17.919191919192                     43.540377022476
       18.221212121212                     43.514938399851
       18.523232323232                     43.490706220145
       18.825252525253                     43.467608496617
       19.127272727273                     43.445567301714
       19.429292929293                     43.424524095057
       19.731313131313                     43.404418669027
       20.033333333333                     43.385197930509
       20.335353535354                      43.36680913996
       20.637373737374                     43.349201268415
       20.939393939394                     43.332337901788
       21.241414141414                     43.316173070399
       21.543434343434                         43.30067436
       21.845454545455                     43.285798360285
       22.147474747475                     43.271515191737
       22.449494949495                     43.257793959085
       22.751515151515                     43.244607966054
       23.053535353535                      43.23193004213
       23.355555555556                     43.219729341304
       23.657575757576                     43.207984714258
       23.959595959596                     43.196672816047
       24.261616161616                      43.18577644937
       24.563636363636                     43.175270863975
       24.865656565657                     43.165140543691
       25.167676767677                      43.15536785564
       25.469696969697                     43.145936378044
       25.771717171717                     43.136828586984
       26.073737373737                     43.128030709827

